code,name,year,quarter,indicator,value,unit
600036,招商银行,2020,1,ROE,0.044354,%
600036,招商银行,2020,1,net_profit_margin,0.36492,%
600036,招商银行,2020,2,ROE,0.080056,%
600036,招商银行,2020,2,net_profit_margin,0.33756,%
600036,招商银行,2020,3,ROE,0.116541,%
600036,招商银行,2020,3,net_profit_margin,0.348056,%
600036,招商银行,2020,4,ROE,0.145825,%
600036,招商银行,2020,4,net_profit_margin,0.337229,%
600036,招商银行,2021,1,ROE,0.043297,%
600036,招商银行,2021,1,net_profit_margin,0.380515,%
600036,招商银行,2021,2,ROE,0.082712,%
600036,招商银行,2021,2,net_profit_margin,0.365324,%
600036,招商银行,2021,3,ROE,0.123771,%
600036,招商银行,2021,3,net_profit_margin,0.375307,%
600036,招商银行,2021,4,ROE,0.151561,%
600036,招商银行,2021,4,net_profit_margin,0.364779,%
600036,招商银行,2022,1,ROE,0.041115,%
600036,招商银行,2022,1,net_profit_margin,0.394706,%
600036,招商银行,2022,2,ROE,0.079484,%
600036,招商银行,2022,2,net_profit_margin,0.390874,%
600036,招商银行,2022,3,ROE,0.12025,%
600036,招商银行,2022,3,net_profit_margin,0.407725,%
600036,招商银行,2022,4,ROE,0.152986,%
600036,招商银行,2022,4,net_profit_margin,0.404005,%
600036,招商银行,2023,1,ROE,0.040319,%
600036,招商银行,2023,1,net_profit_margin,0.432786,%
600036,招商银行,2023,2,ROE,0.0788,%
600036,招商银行,2023,2,net_profit_margin,0.428314,%
600036,招商银行,2023,3,ROE,0.116349,%
600036,招商银行,2023,3,net_profit_margin,0.441718,%
600036,招商银行,2023,4,ROE,0.145016,%
600036,招商银行,2023,4,net_profit_margin,0.436438,%
600036,招商银行,2024,1,ROE,0.034689,%
600036,招商银行,2024,1,net_profit_margin,0.444843,%
600036,招商银行,2024,2,ROE,0.068365,%
600036,招商银行,2024,2,net_profit_margin,0.435855,%
600036,招商银行,2024,3,ROE,0.101561,%
600036,招商银行,2024,3,net_profit_margin,0.451266,%
600036,招商银行,2024,4,ROE,0.128902,%
600036,招商银行,2024,4,net_profit_margin,0.443154,%
600036,招商银行,2025,1,ROE,0.030164,%
600036,招商银行,2025,1,net_profit_margin,0.447911,%
600036,招商银行,2025,2,ROE,0.059581,%
600036,招商银行,2025,2,net_profit_margin,0.44364,%
600036,招商银行,2025,3,ROE,0.091262,%
600036,招商银行,2025,3,net_profit_margin,0.45556,%
600036,招商银行,2025,4,ROE,0.120198,%
600036,招商银行,2025,4,net_profit_margin,0.447738,%
601166,兴业银行,2020,1,ROE,0.037999,%
601166,兴业银行,2020,1,net_profit_margin,0.420848,%
601166,兴业银行,2020,2,ROE,0.059533,%
601166,兴业银行,2020,2,net_profit_margin,0.329644,%
601166,兴业银行,2020,3,ROE,0.093496,%
