日期,M2同比(%)
2026.2,9.0
2026.1,9.0
2025.12,8.5
2025.11,8.0
2025.10,8.2
2025.9,8.4
2025.8,8.8
2025.7,8.8
2025.6,8.3
2025.5,7.9
2025.4,8.0
2025.3,7.0
2025.2,7.0
2025.1,7.0
2024.12,7.3
2024.11,7.1
2024.10,7.5
2024.9,6.8
2024.8,6.3
2024.7,6.3
2024.6,6.2
2024.5,7.0
2024.4,7.2
2024.3,8.3
2024.2,8.7
2024.1,8.7
2023.12,9.7
2023.11,10.0
2023.10,10.3
2023.9,10.3
2023.8,10.6
2023.7,10.7
2023.6,11.3
2023.5,11.6
2023.4,12.4
2023.3,12.7
2023.2,12.9
2023.1,12.6
2022.12,11.8
2022.11,12.4
2022.10,11.8
2022.9,12.1
2022.8,12.2
2022.7,12.0
2022.6,11.4
2022.5,11.1
2022.4,10.5
2022.3,9.7
2022.2,9.2
2022.1,9.8
2021.12,9.0
2021.11,8.5
2021.10,8.7
2021.9,8.3
2021.8,8.2
2021.7,8.3
2021.6,8.6
2021.5,8.3
2021.4,8.1
2021.3,9.4
2021.2,10.1
2021.1,9.4
2020.12,10.1
2020.11,10.7
2020.10,10.5
2020.9,10.9
2020.8,10.4
2020.7,10.7
2020.6,11.1
2020.5,11.1
2020.4,11.1
2020.3,10.1
2020.2,8.8
2020.1,8.4
