日期,开盘,最高,最低,收盘,成交量,成交额
2020-01-02,32.2141997,33.91539901,32.10561251,33.3000716,26672554,243837877.0
2020-01-03,33.48105025,33.69822463,32.86572284,33.19148441,16730362,153405789.0
2020-01-06,32.9381143,33.26387587,32.32278689,32.43137408,22184912,200848247.0
2020-01-07,32.50376554,33.11909295,32.39517835,33.11909295,18868124,171042491.0
2020-01-08,33.04670149,33.04670149,32.28659116,32.50376554,15659666,140951200.0
2020-01-09,32.61235273,33.04670149,32.61235273,32.9381143,12998243,118098185.0
2020-01-10,32.75713565,33.19148441,32.25039543,33.04670149,18101757,164164241.0
2020-01-13,33.26387587,33.95159474,32.61235273,32.86572284,25147830,229210600.0
2020-01-14,32.82952711,33.15528868,32.32278689,32.35898262,23151894,209260027.0
2020-01-15,32.32278689,32.32278689,31.67126375,31.8522424,20862943,183616980.0
2020-01-16,32.06941678,32.06941678,31.41789364,31.41789364,18366196,160105389.0
2020-01-17,31.63506802,31.81604667,31.38169791,31.63506802,13260357,115780953.0
2020-01-20,31.88843813,32.35898262,31.8522424,32.06941678,16096862,142987994.0
2020-01-21,32.17800397,32.17800397,31.1283278,31.1283278,18033553,155885297.0
2020-01-22,31.1283278,31.74365521,30.4044132,31.4902851,13787234,118799395.0
2020-01-23,31.30930645,31.4902851,29.6804986,30.22343455,17722720,149638737.0
2020-02-03,27.21918896,27.58114626,27.21918896,27.21918896,20989779,157992142.0
2020-02-04,27.07440604,27.79832064,26.7848402,27.36397188,30722171,231105980.0
2020-02-05,27.36397188,28.5946267,27.36397188,27.65353772,31005698,238871402.0
2020-02-06,27.72592918,28.26886513,27.36397188,28.05169075,17029015,131196054.0
2020-02-07,27.94310356,28.16027794,27.32777615,27.94310356,22817766,174247102.0
2020-02-10,27.54495053,28.30506086,27.40016761,28.2326694,20630327,159870077.0
2020-02-11,28.2326694,28.63082243,28.08788648,28.30506086,16609121,129958696.0
2020-02-12,28.37745232,28.44984378,28.05169075,28.41364805,10525101,82253785.0
2020-02-13,28.30506086,29.10136692,28.30506086,28.88419254,21505156,171350366.0
2020-02-14,28.77560535,29.02897546,28.48603951,28.84799681,14535279,115422279.0
2020-02-17,29.3185413,31.38169791,29.3185413,31.34550218,40501961,343072654.0
2020-02-18,31.34550218,31.74365521,30.80256623,31.52648083,29326909,253838645.0
2020-02-19,31.41789364,31.96082959,30.94734915,30.98354488,18393350,159475711.0
2020-02-20,31.16452353,31.20071926,30.62158758,31.1283278,20326358,173880182.0
2020-02-21,31.92463386,32.35898262,31.34550218,32.06941678,32033467,281990906.0
2020-02-24,32.10561251,34.0239862,31.77985094,33.26387587,40312110,367679119.0
2020-02-25,32.43137408,35.25464102,32.2141997,34.60311788,48784772,453624599.0
2020-02-26,33.87920328,35.03746664,33.37246306,33.40865879,38462891,363169255.0
2020-02-27,33.51724598,33.69822463,32.39517835,33.04670149,28078667,256125227.0
2020-02-28,32.2141997,33.04670149,30.47680466,32.03322105,43821252,382819891.0
2020-03-02,31.8522424,33.77061609,31.70745948,33.48105025,34406137,313619097.0
2020-03-03,33.98779047,34.20496485,32.43137408,32.72093992,27220588,249392055.0
2020-03-04,33.11909295,33.11909295,32.03322105,32.75713565,19833870,177513096.0
2020-03-05,33.04670149,33.58963744,32.576157,33.22768014,32029010,294064879.0
2020-03-06,32.82952711,33.51724598,32.75713565,32.97431003,18021196,165253808.0
2020-03-09,32.576157,32.72093992,31.05593634,31.45408937,27747888,243609554.0
2020-03-10,30.73017477,32.64854846,30.69397904,32.39517835,23450580,206889817.0
2020-03-11,32.43137408,33.84300755,32.28659116,33.15528868,31432447,288949835.0
2020-03-12,32.79333138,33.58963744,32.10561251,33.26387587,25432246,230917861.0
2020-03-13,31.8522424,33.58963744,31.4902851,33.55344171,28542990,258730180.0
2020-03-16,33.51724598,33.55344171,30.69397904,31.09213207,32476820,286694509.0
2020-03-17,30.94734915,31.63506802,29.35473703,29.71669433,20739070,172108212.0
2020-03-18,29.82528152,30.83876196,29.13756265,29.28234557,33793363,281590407.0
2020-03-19,29.71669433,29.82528152,27.83451637,29.71669433,41177794,328141947.0
2020-03-20,29.89767298,30.69397904,29.46332422,30.36821747,23257052,194284538.0
2020-03-23,29.60810714,29.6804986,28.2326694,28.2326694,19034622,151514611.0
2020-03-24,28.73940962,31.05593634,28.55843097,31.05593634,29015214,238410603.0
2020-03-25,31.96082959,33.33626733,31.34550218,32.79333138,43450548,390150200.0
2020-03-26,32.576157,32.68474419,31.67126375,32.2141997,22837893,202461052.0
2020-03-27,32.64854846,33.01050576,31.88843813,32.39517835,16474760,147690296.0
2020-03-30,32.28659116,32.90191857,30.80256623,32.68474419,17615770,158190900.0
2020-03-31,32.72093992,32.9381143,32.10561251,32.17800397,21250322,190742391.0
2020-04-01,32.17800397,33.3000716,30.51300039,30.69397904,37336546,326870570.0
2020-04-02,30.0424559,30.25963028,29.20995411,30.0424559,26259042,215209297.0
2020-04-03,30.22343455,30.4044132,29.46332422,29.53571568,15295169,125923880.0
2020-04-07,30.0424559,30.29582601,29.57191141,30.11484736,19907747,164374007.0
2020-04-08,29.89767298,29.97006444,29.42712849,29.71669433,12815735,105024046.0
2020-04-09,29.89767298,30.18723882,29.71669433,29.93386871,16261500,134346084.0
2020-04-10,30.00626017,30.00626017,29.06517119,29.24614984,16406640,133152519.0
2020-04-13,29.24614984,29.35473703,28.66701816,29.24614984,10269161,82373112.0
2020-04-14,29.02897546,29.57191141,29.02897546,29.42712849,13627275,110376773.0
2020-04-15,29.42712849,29.6804986,29.24614984,29.28234557,10850950,88253298.0
2020-04-16,29.17375838,29.46332422,28.84799681,29.02897546,14891703,119523236.0
2020-04-17,29.17375838,29.53571568,29.10136692,29.28234557,11637951,94244515.0
2020-04-20,29.46332422,29.46332422,29.10136692,29.35473703,7855156,63587253.0
2020-04-21,29.28234557,29.28234557,28.63082243,28.84799681,9843887,78637762.0
2020-04-22,28.66701816,29.17375838,28.37745232,29.10136692,7296521,58176520.0
2020-04-23,29.24614984,29.3185413,28.77560535,28.92038827,8543688,68482525.0
2020-04-24,29.28234557,29.53571568,28.48603951,28.63082243,10967441,87525685.0
2020-04-27,28.5946267,28.63082243,27.76212491,28.48603951,10677761,83453355.0
2020-04-28,28.41364805,28.63082243,27.68973345,28.05169075,10660179,82659705.0
2020-04-29,28.05169075,28.5946267,27.8707121,28.30506086,9299872,72635525.0
2020-04-30,28.44984378,29.49951995,28.41364805,29.17375838,14858921,119704066.0
2020-05-06,28.92038827,30.11484736,28.81180108,29.89767298,19706106,162113581.0
2020-05-07,29.86147725,29.86147725,29.3185413,29.64430287,10675321,87245109.0
2020-05-08,29.57191141,30.58539185,29.57191141,30.36821747,18830981,156790266.0
